Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State
High  Bridge,40.836623010706056,-73.9261020935813,Halstead Lounge,58ebb008005a0f7562c36274,Lounge,40.82966,-73.926497,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,Harman Lounge,598142cf1fa7633aa8516409,Lounge,40.829439,-73.927334,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,Vega Alta,4aa71d89f964a520fa4b20e3,Bar,40.827922356367445,-73.92469448284058,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,The Heights Bar & Grill,59b4ca014ce06668d08e9c0d,Bar,40.84519,-73.935033,New York,NY
High  Bridge,40.836623010706056,-73.9261020935813,Vibe Lounge,4be36e221dd22d7ffac396bd,Bar,40.844950666824545,-73.93454410259858,New York,NY
Melrose,40.819754370594936,-73.90942160757436,CRAZY PISTONS CLUB,4dd761b3ae60680f1506043a,Nightlife Spot,40.812076,-73.913704,New York,NY
Mott Haven,40.80623874935177,-73.91609987487575,Big Apple Stage,53921c91498ee4f7239ca11b,Concert Hall,40.79703700290328,-73.92414187988072,New York,NY
Mott Haven,40.80623874935177,-73.91609987487575,CRAZY PISTONS CLUB,4dd761b3ae60680f1506043a,Nightlife Spot,40.812076,-73.913704,New York,NY
Port Morris,40.801663627756206,-73.91322139386135,Honda Stage,53922a0b498e6b862b359135,Concert Hall,40.79792562355501,-73.92537042748691,New York,NY
Port Morris,40.801663627756206,-73.91322139386135,Big Apple Stage,53921c91498ee4f7239ca11b,Concert Hall,40.79703700290328,-73.92414187988072,New York,NY
Port Morris,40.801663627756206,-73.91322139386135,Main Stage West,5221248311d26386f9708042,Music Venue,40.79687966959554,-73.92554265316579,New York,NY
Soundview,40.821012197914015,-73.86574609554924,East 4th Street Bar,3fd66200f964a5207fe31ee3,Bar,40.81995102895951,-73.87671797717111,New York,NY
Soundview,40.821012197914015,-73.86574609554924,Black City Media Studios,5089e1c8e4b055a756dc9ac8,Music Venue,40.8260498046875,-73.87533569335938,New York,NY
Soundview,40.821012197914015,-73.86574609554924,The Oven,4eed3a127beb9f550a6d8af0,Lounge,40.81950921585175,-73.87945175170898,New York,NY
Country Club,40.844245936947374,-73.8240992675385,Club Cama!,4f0d0e57e4b0dd8930088f3f,Other Nightlife,40.84767037284929,-73.82663716947498,New York,NY
Parkchester,40.837937822267286,-73.85600310535783,Blue Mist,5c70da2a86f4cc0039997906,Hookah Bar,40.834005,-73.852021,New York,NY
Parkchester,40.837937822267286,-73.85600310535783,Cafe Sueno,4dc4d34e887717c880145d80,Bar,40.832345,-73.84796,New York,NY
Parkchester,40.837937822267286,-73.85600310535783,Starling Members Only Club,4dc3c835fa76d685cdb53e3e,Bar,40.83032807185345,-73.850159395635,New York,NY
Parkchester,40.837937822267286,-73.85600310535783,Fort Perdition,57df337c498ed2476715ca51,Dive Bar,40.832888,-73.850699,New York,NY
Parkchester,40.837937822267286,-73.85600310535783,Harrison and Bogart,4bf8a5b65efe2d7f71346b34,Pub,40.85002144,-73.85936200618744,New York,NY
Westchester Square,40.8406194964327,-73.84219407604444,Emergency Room,4d9538230caaa143dd9c59b3,Bar,40.84325252894849,-73.83734897422747,New York,NY
Westchester Square,40.8406194964327,-73.84219407604444,Blue Mist,5c70da2a86f4cc0039997906,Hookah Bar,40.834005,-73.852021,New York,NY
Westchester Square,40.8406194964327,-73.84219407604444,Fort Perdition,57df337c498ed2476715ca51,Dive Bar,40.832888,-73.850699,New York,NY
Westchester Square,40.8406194964327,-73.84219407604444,Cafe Sueno,4dc4d34e887717c880145d80,Bar,40.832345,-73.84796,New York,NY
Van Nest,40.84360847124718,-73.8662991807561,The Bronx - All American City,59062a8906fb6079615a6f74,Beer Bar,40.836143,-73.875972,New York,NY
Van Nest,40.84360847124718,-73.8662991807561,Harrison and Bogart,4bf8a5b65efe2d7f71346b34,Pub,40.85002144,-73.85936200618744,New York,NY
Morris Park,40.847549063536334,-73.85040178030421,Emergency Room,4d9538230caaa143dd9c59b3,Bar,40.84325252894849,-73.83734897422747,New York,NY
Morris Park,40.847549063536334,-73.85040178030421,Harrison and Bogart,4bf8a5b65efe2d7f71346b34,Pub,40.85002144,-73.85936200618744,New York,NY
Belmont,40.85727710073895,-73.88845196134804,Mugz,4a47aecff964a520f2a91fe3,Bar,40.857309011647914,-73.88597845458973,New York,NY
Belmont,40.85727710073895,-73.88845196134804,Rose's Tiki Bar,4e94f5d4f5b9b714f2850919,Dive Bar,40.85674893927329,-73.88803455608864,New York,NY
Belmont,40.85727710073895,-73.88845196134804,Azgardz,5c2000d5a35dce002c2ecf99,Bar,40.854061,-73.888725,New York,NY
Belmont,40.85727710073895,-73.88845196134804,Lé Boujè,4ee9690d99111dae86e1f59e,Nightclub,40.861582,-73.900647,New York,NY
Spuyten Duyvil,40.88139497727086,-73.91719048210393,Indian Road Café,49caa774f964a520d1581fe3,Café,40.87292174447656,-73.91845881138549,New York,NY
Spuyten Duyvil,40.88139497727086,-73.91719048210393,Keenan's,548e0d51498e6561895f6db5,Bar,40.87920843540575,-73.90456714524868,New York,NY
Spuyten Duyvil,40.88139497727086,-73.91719048210393,Moose Hall Theatre Company,4f32ce8219836c91c7fcc7e7,Concert Hall,40.875071,-73.920736,New York,NY
Spuyten Duyvil,40.88139497727086,-73.91719048210393,Villa Lobos,4e583503fa76435f0bdac572,Music Venue,40.87570701775556,-73.90960539082762,New York,NY
North Riverdale,40.90854282950666,-73.90453054908927,Frankie's TAVERN,576e390d498e5c4438bfcb83,Pub,40.905235,-73.90119,New York,NY
North Riverdale,40.90854282950666,-73.90453054908927,Russian Mission Residential Bar,566a3848498e239a0d06e1a6,Bar,40.90283966064453,-73.9024887084961,New York,NY
North Riverdale,40.90854282950666,-73.90453054908927,Jays Place,4e4b59a522713bd908bd905f,Bar,40.905381598797106,-73.89769007269152,New York,NY
Pelham Bay,40.85064140940335,-73.8320737824047,Emergency Room,4d9538230caaa143dd9c59b3,Bar,40.84325252894849,-73.83734897422747,New York,NY
Pelham Bay,40.85064140940335,-73.8320737824047,Club Cama!,4f0d0e57e4b0dd8930088f3f,Other Nightlife,40.84767037284929,-73.82663716947498,New York,NY
Olinville,40.87137078192371,-73.86332361652777,Liquor Barn,5ac13643f0b4906871e347e1,Liquor Store,40.86545,-73.863319,New York,NY
Olinville,40.87137078192371,-73.86332361652777,Ethics Bar and Lounge,58f3123e7b2e042245c763d2,Bar,40.872253,-73.850904,New York,NY
Olinville,40.87137078192371,-73.86332361652777,705 Bar Car,52002f73498ec644ea1032ee,Bar,40.87191057112567,-73.8748443217221,New York,NY
Pelham Gardens,40.86296562477998,-73.84161194831223,Bravo Clubhouse,4d1ea9250901721e6b7184a5,Nightclub,40.86390038190711,-73.8456250968673,New York,NY
Concourse,40.83428380733851,-73.91558941773444,GlacierzGirlz Studios,4be89a6cee96c928eb52febf,Music Venue,40.83105172398551,-73.91973999891661,New York,NY
Concourse,40.83428380733851,-73.91558941773444,Suyo Gastrofusion,5a0e08c161e53b2ff4334d1b,Bar,40.840278,-73.918101,New York,NY
Concourse,40.83428380733851,-73.91558941773444,City Winery,5ba7e23b364d97002cbce4a2,Wine Bar,40.828613,-73.92555,New York,NY
