Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue Name,Venue ID,Venue Category,Venue Latitude,Venue Longitude,Venue City,Venue State,Likes,Rating
Bedford Park,40.870185164975325,-73.8855121841913,club 504,5293f15411d2a01ea9004242,Nightclub,40.863218163251574,-73.88837856163842,Bronx,NY,1,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Under The Bleachers,4fb31a3ee4b0d88c768c81cc,Nightclub,40.86279441176803,-73.88410076341928,Bronx,NY,0,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Club 202,4d8a69b66daeb60c412c64e0,Lounge,40.863602,-73.889309,,NY,0,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Poco Pelo Lounge,4e508cf2aeb70f1284b18a1c,Lounge,40.862912,-73.89357199999998,,NY,1,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Los Angelis,508b3fc4e4b09f7bb8ea03c2,Nightclub,40.859896783114706,-73.88693158532638,Bronx,NY,0,N/A
Bedford Park,40.870185164975325,-73.8855121841913,Monte Carlo,4c4a600ff7cc1b8dddd44a3e,Nightclub,40.868184039366,-73.89661117238812,Bronx,NY,2,N/A
University Heights,40.85572707719664,-73.91041596191309,dj rey lounge,4efeeb23c2ee2cc870c5cb2d,Lounge,40.86022306270596,-73.91028642654419,Bronx,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,Durmiendo,511f1ab8e4b09c463f048626,Lounge,40.84769883486675,-73.90079800106709,Bronx,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,el divo lounge,53b6397e498e02ac539ec507,Music Venue,40.84918059204656,-73.90515581404897,Bronx,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,Elite Bookings Hall,5a07e25bc0f16370f30d56cb,Concert Hall,40.848705,-73.911909,New York,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,El TINA BAR,4f360273e4b0fc67a7b47560,Lounge,40.86430673176511,-73.91919890657445,New York,NY,4,N/A
University Heights,40.85572707719664,-73.91041596191309,Fokkus Room NYC,59dc4cde2079553df2a7e2bd,Lounge,40.862635,-73.907216,New York,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,YALA Nation Station,4f9106f3e4b048b2e41459de,Music Venue,40.85638,-73.90151800000002,Bronx,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,Black Girls Rock,4e99f886d22d8be588e9c70e,Concert Hall,40.861302,-73.89815300000002,,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,Un Chin,55d32f5f498e5a511a3a0bc5,Lounge,40.86225318382544,-73.90886475864474,New York,NY,1,N/A
University Heights,40.85572707719664,-73.91041596191309,Rhumba Night Club,4f32ca6419836c91c7fafcb7,Nightclub,40.847709,-73.901264,Bronx,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,Cliff New York,5461d62d498ee42bf49cfbda,Nightclub,40.86107025630634,-73.92091778866848,New York,NY,10,7.1
University Heights,40.85572707719664,-73.91041596191309,Skyline Bar Lounge,4f32446e19836c91c7c6c4bf,Lounge,40.86359735874935,-73.91940946633676,New York,NY,6,5.8
University Heights,40.85572707719664,-73.91041596191309,The Tunnel,4c9ed2b603133704ea1e6dd5,Lounge,40.86196114838386,-73.90458812686029,Bronx,NY,1,N/A
University Heights,40.85572707719664,-73.91041596191309,Tahbu Night Club,4da93d516e81162ae7b88d2a,Nightclub,40.86130513100488,-73.91314201419884,Bronx,NY,1,N/A
University Heights,40.85572707719664,-73.91041596191309,Opus Lounge,5194e9bb50193eab827ac172,Lounge,40.86103026525583,-73.9200732226503,New York,NY,16,6.2
University Heights,40.85572707719664,-73.91041596191309,Paradise Theater,4bae9aedf964a520d0c53be3,Music Venue,40.86049894842506,-73.89846324920653,Bronx,NY,18,7.7
University Heights,40.85572707719664,-73.91041596191309,Bakare Restaurant & Lounge,57bf974d498e92026a4b50c4,Lounge,40.8629,-73.921188,,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,718 Lounge and Tapas Bar,4ea235490aaf71118085a517,Lounge,40.852201182944185,-73.89796738001395,Bronx,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,Lé Boujè,4ee9690d99111dae86e1f59e,Nightclub,40.861582,-73.90064699999998,New York,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,zoodoo,50fa3cffe4b02fe305c3a28f,Nightclub,40.84431076049805,-73.91532135009766,Bronx,NY,0,N/A
University Heights,40.85572707719664,-73.91041596191309,Agua Roja Lounge & Restaurant,4eea852993adad8125bdcb60,Lounge,40.862370145811745,-73.92285731412427,New York,NY,15,6.5
University Heights,40.85572707719664,-73.91041596191309,negroclaro,4f41d3e2e4b0f7b45aa5401d,Lounge,40.86237091789953,-73.92014043499094,Queens,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Shisha Lounge,5663c87d38fa76efbb5efc11,Lounge,40.84580374584702,-73.92179383971141,Bronx,NY,3,N/A
Morris Heights,40.847897926062714,-73.91967159119567,EG Music Studios,4eba1a969adfe14d0427dee3,Music Venue,40.84736180781012,-73.91973282263861,Bronx,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,featherbed lounge,5139658ee4b0bd1ff0165e02,Lounge,40.84639358520508,-73.9214859008789,Bronx,NY,1,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Bambu Nightclub,53b66b4a498eb71c6397a688,Nightclub,40.84774328230189,-73.92186273126956,Port Chester,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Ben's Club,51426853e4b0455b29218b4e,Lounge,40.8487290143967,-73.9302688837051,New York,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Zoodo night club,4bd528c36798ef3bfa08638d,Nightclub,40.843545,-73.917328,Bronx,NY,2,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Budda Restaurant & Lounge,4e8e8a9d6c254835944b0c0b,Nightclub,40.840478174901634,-73.92140752459464,Bronx,NY,15,7.2
Morris Heights,40.847897926062714,-73.91967159119567,Shisha Cafe & Bar,5704bd04cd102771b33805a1,Music Venue,40.8457639,-73.9216747,Bronx,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,El Aguilita Bar,4f3a0464e4b059425a28afd5,Music Venue,40.84258586341689,-73.92384909402429,Bronx,NY,8,7.0
Morris Heights,40.847897926062714,-73.91967159119567,Bucana Lounge,4d1bfa192dd93704818147b5,Lounge,40.851983,-73.931557,New York,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Le Trou Night Club,4bb85d3b7421a593e5c0c140,Lounge,40.838348,-73.92005999999998,,NY,1,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Sting Like 2e,5121bb7de4b0d2f62261f94d,Nightclub,40.85176060382497,-73.92781601781147,New York,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,DJ PREZZ ENTERTAINMENT,51218f31e4b06dc367a0c321,Music Venue,40.85346221923828,-73.92918395996094,New York,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Radiant Bliss Music Project in Second Life,4bbcb68b4e069c746ec89de3,Music Venue,40.84864,-73.93233000000002,Second Life,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Voga Lounge,54ddf339498e77f5364f225c,Lounge,40.848073153742334,-73.93268988409505,New York,NY,7,6.6
Morris Heights,40.847897926062714,-73.91967159119567,Piano Bar 1285 Shakesperar Ave,5227f1c711d21963cfb98765,Nightclub,40.838722,-73.92231,Bronx,NY,0,N/A
Morris Heights,40.847897926062714,-73.91967159119567,Euforia Lounge,4f531a3ae4b07de37c53752c,Lounge,40.839130894345175,-73.91824015039222,Bronx,NY,0,N/A
Fordham,40.86099679638654,-73.89642655981623,Howl At The Moon,4a73de62f964a5208fdd1fe3,Piano Bar,40.85757292782422,-73.88644395048595,Bronx,NY,32,6.4
Fordham,40.86099679638654,-73.89642655981623,BREMI Lounge,4f6b8245e4b07325783f7d62,Lounge,40.85821310538321,-73.89212801789832,,NY,0,N/A
Fordham,40.86099679638654,-73.89642655981623,Beezy Nation,5334d2b3498e745402c64eb9,Lounge,40.856631,-73.887561,BX,NY,2,N/A
Fordham,40.86099679638654,-73.89642655981623,The Catering Space,55441c72498ee15ea48f9686,Lounge,40.855629,-73.887008,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,Eros Lounge,4bd3f08541b9ef3b324e01e6,Lounge,40.843519023332426,-73.88567100002814,Bronx,NY,5,6.1
East Tremont,40.84269615786053,-73.88735617532338,En La 178 Church,4c995623eaa5a1431313c3e4,Music Venue,40.846854,-73.89491899999999,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,Tropicana Theatere & Lounge,4bb2d8f214cfd13abf7c15ab,Lounge,40.83740441148761,-73.87792219453874,Bronx,NY,6,7.3
East Tremont,40.84269615786053,-73.88735617532338,The Dark Room,4cb379711168a09343774223,Music Venue,40.842226933333336,-73.8767047,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,The Space,4fb95022e4b079befaa0563a,Music Venue,40.846748,-73.89577,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,Ratata,4ed229279adf254459042b33,Nightclub,40.8524004129804,-73.88793826103209,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,Jurassic Park,4bf8abf25ec320a17e3e89d3,Nightclub,40.8458554217551,-73.88221161202509,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,The Lions Den,52993f9811d22f01c51932c5,Lounge,40.844173,-73.889953,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,DR Lounge,4e703dac1838f0daa07c07f1,Lounge,40.8465699744764,-73.89546973911753,Bronx,NY,0,N/A
East Tremont,40.84269615786053,-73.88735617532338,Tray's Lounge,52ac647011d225e832d2ade5,Lounge,40.83320310694568,-73.8943558383954,New York,NY,1,N/A
East Tremont,40.84269615786053,-73.88735617532338,Salsa Caterers,4c673c4ee1da1b8dfc979dc3,Lounge,40.842180444103576,-73.89843819609814,Bronx,NY,1,N/A
West Farms,40.839475056726535,-73.87774474910546,The Basememt,4c919578b641236a190e8379,Music Venue,40.8308869600296,-73.87348462,Bronx,NY,0,N/A
West Farms,40.839475056726535,-73.87774474910546,Shabar Music Studio,51f4aff4498edf931faa634e,Music Venue,40.835061,-73.876886,Bronx,NY,2,N/A
West Farms,40.839475056726535,-73.87774474910546,Twins Bar & Lounge,4c8478f1d92ea093ccf05d72,Nightclub,40.83976953164503,-73.87055474301826,Bronx,NY,2,N/A
West Farms,40.839475056726535,-73.87774474910546,Gambino's Studio,4edee9c56da1030286eeb020,Music Venue,40.83314791649003,-73.86570085966112,Bronx,NY,0,N/A
West Farms,40.839475056726535,-73.87774474910546,THE VZONE,4f4d5144e4b0f92024840e67,Music Venue,40.84297638846372,-73.86765477390047,Bronx,NY,0,N/A
West Farms,40.839475056726535,-73.87774474910546,Dance studio,518dcdb6498ef56b474aad50,Lounge,40.832254,-73.866249,Bronx,NY,0,N/A
West Farms,40.839475056726535,-73.87774474910546,Bacalao Bros. Productions,50da172ee4b0dbf31d84a39a,Lounge,40.83393816554837,-73.86685655706084,Bronx,NY,0,N/A
West Farms,40.839475056726535,-73.87774474910546,Club E-Rode,510ca776e4b033507d89b33b,Lounge,40.82970127654996,-73.87955873036397,Bronx,NY,0,N/A
